attendance_percentage,assignment_average,test_average,lms_login_count,risk_level,outcome
87.41,68.0,52.54,71,Medium,1
85.49,78.79,57.7,84,Medium,1
76.54,68.73,66.65,72,Low,1
61.2,85.44,80.98,68,Medium,1
90.66,89.3,60.08,94,Low,1
73.31,78.01,65.0,83,Medium,1
82.37,66.1,78.67,73,Low,1
62.37,36.06,47.43,64,Medium,0
96.17,82.39,64.46,55,Low,1
52.23,40.06,50.45,21,High,1
77.01,72.13,73.82,57,Low,1
91.79,68.38,69.57,54,Low,1
77.95,77.84,84.45,83,Low,1
86.15,80.73,80.46,67,Low,1
87.13,68.53,71.92,65,Low,1
69.57,75.11,69.15,51,Medium,1
21.72,51.32,39.36,11,High,0
55.15,38.98,27.91,10,High,0
55.02,11.75,37.24,23,High,0
96.13,77.85,74.25,60,Low,1
83.03,74.13,63.12,31,Low,1
92.07,88.44,76.27,61,Low,1
46.57,51.0,52.7,52,High,0
61.83,59.39,64.32,28,Medium,1
69.37,70.93,65.14,103,Medium,1
76.23,74.13,46.85,5,Medium,1
79.71,75.75,70.5,64,Low,1
74.51,48.12,36.45,45,High,1
78.27,82.18,73.9,59,Low,1
79.15,85.72,72.44,62,Low,1
90.69,84.2,61.78,72,Low,1
79.74,82.42,76.55,91,Low,1
73.44,35.97,52.57,37,Medium,0
60.57,45.61,68.16,45,Medium,1
64.16,81.06,39.61,44,High,1
25.56,28.24,51.9,24,High,0
84.77,71.26,80.12,68,Low,1
92.2,93.79,74.38,49,Low,1
40.37,50.46,41.25,5,High,0
67.27,58.87,61.05,30,Medium,1
48.67,46.36,35.45,13,High,0
72.87,75.73,83.44,63,Medium,1
49.78,22.68,45.3,27,High,0
31.47,56.99,18.71,0,High,0
31.43,47.73,38.9,18,High,0
66.18,37.0,36.04,37,High,0
87.82,76.34,55.08,41,Medium,1
73.44,61.68,85.25,76,Medium,1
62.83,78.51,47.37,33,Medium,1
91.13,65.54,76.92,76,Low,1
85.76,70.02,74.65,67,Low,1
92.01,85.01,88.72,38,Low,1
83.48,67.7,77.91,86,Low,1
88.21,78.12,61.95,32,Low,1
86.23,83.47,61.52,46,Low,1
84.39,79.08,68.72,95,Low,1
37.42,40.76,33.41,4,High,0
46.21,38.19,43.77,5,High,0
88.49,77.97,77.72,71,Low,1
81.43,62.26,73.73,66,Low,1
66.58,61.13,55.72,31,Medium,1
82.64,66.63,41.48,46,High,1
94.94,78.13,60.79,59,Low,1
40.3,15.36,56.62,1,High,0
44.86,31.52,46.35,13,High,0
89.75,84.12,68.21,41,Low,1
96.82,72.8,66.03,68,Low,1
95.69,68.84,84.53,60,Low,1
67.5,58.45,39.97,47,High,1
74.55,67.89,71.31,66,Medium,1
61.94,36.44,50.92,46,Medium,0
70.52,61.03,51.83,43,Medium,1
79.94,66.51,62.32,48,Low,1
68.1,65.02,47.48,29,Medium,1
75.17,70.61,65.11,76,Low,1
32.48,50.47,27.41,0,High,0
95.17,87.47,75.53,48,Low,1
61.67,43.8,57.44,18,Medium,1
76.0,74.18,63.12,74,Low,1
47.93,56.24,9.83,8,High,0
70.72,56.55,58.82,23,Medium,1
32.99,46.17,13.43,19,High,0
79.97,64.7,68.78,79,Low,1
79.82,71.6,69.3,80,Low,1
85.38,78.27,85.44,59,Low,1
51.64,51.31,48.81,54,High,1
76.9,73.21,79.44,61,Low,1
79.33,63.25,77.27,86,Low,1
89.78,73.85,72.91,82,Low,1
73.36,50.2,42.74,49,High,1
83.19,72.38,80.82,69,Low,1
83.59,95.5,63.49,61,Low,1
80.86,60.39,65.39,62,Low,1
83.61,60.76,68.98,36,Low,1
62.36,57.88,52.36,40,Medium,1
57.96,38.21,12.38,42,High,0
74.69,54.98,38.67,50,High,1
38.61,39.4,34.15,15,High,0
82.55,60.04,65.79,62,Low,1
77.51,46.11,43.65,43,High,1
77.38,85.93,78.52,78,Low,1
75.86,37.1,41.84,38,High,0
73.57,73.14,86.45,62,Medium,1
83.87,85.64,66.14,66,Low,1
33.93,48.37,32.48,4,High,0
60.43,48.33,51.6,33,Medium,1
84.36,79.87,84.4,50,Low,1
69.38,66.35,56.31,26,Medium,1
45.49,62.18,44.02,22,High,0
72.92,42.09,47.85,18,Medium,1
80.18,56.46,59.2,75,Medium,1
73.33,63.98,65.54,54,Medium,1
44.36,21.72,30.09,12,High,0
30.65,39.87,26.29,21,High,0
81.08,69.87,75.75,74,Low,1
64.58,58.34,59.88,31,Medium,1
78.71,52.59,53.88,43,Medium,1
79.68,79.66,78.32,59,Low,1
93.52,79.05,61.64,81,Low,1
36.23,54.4,29.18,23,High,0
80.17,72.63,71.4,39,Low,1
64.89,72.43,78.51,62,Medium,1
47.81,27.9,17.11,26,High,0
83.36,73.72,69.68,84,Low,1
89.41,65.03,56.66,80,Medium,1
86.3,75.04,78.95,58,Low,1
87.22,83.65,74.42,51,Low,1
76.39,65.74,77.99,99,Low,1
78.27,59.86,72.18,64,Low,1
74.85,83.58,60.36,78,Medium,1
46.58,29.94,21.24,20,High,0
30.25,39.87,24.77,10,High,0
43.74,55.96,15.22,7,High,0
76.18,72.67,62.41,77,Low,1
37.63,73.22,33.73,0,High,1
77.49,76.96,74.78,56,Low,1
74.02,88.3,68.09,87,Medium,1
54.88,46.19,35.08,28,High,0
29.91,29.88,46.13,15,High,0
65.29,41.11,39.11,6,High,0
49.41,50.4,47.19,36,High,0
27.84,52.36,59.43,17,High,1
56.65,42.64,50.42,29,Medium,0
40.49,23.95,32.69,17,High,0
81.44,70.29,62.12,58,Low,1
100.0,78.86,78.43,53,Low,1
62.72,72.11,51.59,28,Medium,1
81.54,69.41,77.51,75,Low,1
88.62,85.17,76.0,65,Low,1
35.14,51.59,41.95,26,High,0
73.7,79.28,78.73,59,Medium,1
82.37,72.64,57.13,49,Medium,1
47.15,36.12,54.36,21,High,0
77.47,70.12,69.36,58,Low,1
67.76,70.8,73.41,64,Medium,1
78.98,72.58,74.81,74,Low,1
58.1,56.8,71.66,32,Medium,1
26.56,45.37,41.39,16,High,0
39.54,48.58,31.89,1,High,0
57.18,59.21,50.95,21,Medium,1
77.42,73.72,63.83,73,Low,1
35.92,51.95,41.8,0,High,0
48.2,43.51,38.49,20,High,0
36.43,50.17,39.84,2,High,0
80.97,80.9,64.53,60,Low,1
73.48,77.05,70.54,81,Medium,1
88.74,66.22,72.72,86,Low,1
86.15,69.09,75.41,62,Low,1
71.5,80.22,65.41,76,Medium,1
80.82,82.57,78.78,60,Low,1
69.87,72.34,34.54,26,High,1
48.29,78.9,55.27,11,High,1
57.49,59.21,66.48,42,Medium,1
70.22,45.61,66.02,30,Medium,1
79.16,75.67,71.59,58,Low,1
91.41,63.35,79.24,77,Low,1
82.35,75.4,62.78,92,Low,1
19.87,30.59,31.74,0,High,0
38.78,51.75,33.75,15,High,0
85.61,85.78,67.37,67,Low,1
50.6,67.54,78.89,23,High,1
84.8,82.4,67.81,58,Low,1
70.72,42.74,48.43,44,Medium,1
58.76,40.76,54.76,34,Medium,0
53.02,56.9,35.37,19,High,1
99.95,65.28,70.35,70,Low,1
76.13,69.4,68.98,60,Low,1
56.5,60.31,58.39,47,Medium,1
83.99,91.25,68.57,59,Low,1
72.92,73.68,80.39,90,Medium,1
76.27,85.73,59.32,42,Medium,1
90.05,76.54,75.01,88,Low,1
25.27,55.03,51.77,14,High,0
79.52,69.59,73.12,79,Low,1
63.53,66.57,71.77,1,Medium,1
48.08,65.96,70.02,32,High,1
56.8,68.27,47.87,39,Medium,1
67.39,82.02,77.29,44,Medium,1
42.06,29.64,63.52,30,High,0
77.61,72.23,85.47,63,Low,1
80.52,60.39,75.37,68,Low,1
80.9,62.21,69.34,75,Low,1
39.36,53.48,45.8,15,High,1
48.39,66.58,69.85,64,High,1
78.08,69.26,83.47,63,Low,1
54.97,70.19,70.99,27,High,1
89.81,76.27,71.94,59,Low,1
88.08,80.1,67.8,61,Low,1
80.25,73.85,74.64,72,Low,1
75.35,75.63,77.07,62,Low,1
75.1,55.54,59.91,42,Medium,1
88.2,85.89,61.98,85,Low,1
72.85,63.72,69.02,71,Medium,1
71.44,77.09,77.75,74,Medium,1
27.26,30.99,33.11,14,High,0
69.26,48.68,42.3,19,High,1
66.74,45.02,30.54,21,High,0
85.43,58.05,77.35,56,Low,1
85.24,68.54,82.37,57,Low,1
67.82,55.04,40.25,24,High,0
71.54,75.59,74.93,67,Medium,1
62.04,64.34,55.31,68,Medium,1
76.26,71.58,86.29,70,Low,1
66.32,59.49,68.23,14,Medium,1
72.33,75.54,87.09,41,Medium,1
38.78,44.28,55.55,16,High,0
81.62,73.08,61.35,79,Low,1
69.67,78.96,57.7,70,Medium,1
86.9,69.49,65.68,70,Low,1
36.65,36.22,37.05,12,High,0
61.29,49.93,49.95,32,Medium,0
75.29,69.68,65.5,79,Low,1
76.39,91.32,81.49,80,Low,1
91.77,64.86,61.51,55,Low,1
75.76,76.15,74.26,52,Low,1
86.73,78.55,66.45,48,Low,1
44.96,46.37,23.05,14,High,0
60.97,66.22,71.04,35,Medium,1
12.08,62.75,19.31,5,High,0
80.57,74.27,67.38,57,Low,1
83.25,76.05,61.93,83,Low,1
87.02,73.17,65.63,52,Low,1
56.54,67.35,59.07,21,Medium,1
90.8,86.64,89.67,69,Low,1
68.11,50.82,63.75,42,Medium,1
87.79,81.19,73.09,55,Low,1
82.38,60.25,81.42,65,Low,1
83.31,76.12,67.36,73,Low,1
58.25,58.6,56.36,38,Medium,1
75.93,72.94,87.72,34,Low,1
85.54,55.26,66.47,62,Low,1
61.82,63.41,60.19,31,Medium,1
83.85,77.14,62.69,74,Low,1
34.41,28.1,27.99,3,High,0
73.14,53.13,54.89,35,Medium,1
72.02,49.0,51.03,50,Medium,1
79.87,47.87,35.64,29,High,1
63.1,65.52,48.75,24,Medium,1
78.91,85.47,73.72,74,Low,1
58.04,77.92,66.02,29,Medium,1
90.97,69.22,72.99,82,Low,1
88.25,80.71,79.42,51,Low,1
93.67,80.58,72.37,48,Low,1
83.87,42.99,56.22,55,Medium,1
73.36,60.45,52.19,14,Medium,1
57.99,62.33,53.42,37,Medium,1
93.3,71.57,69.18,74,Low,1
88.94,81.98,72.83,54,Low,1
48.79,45.49,42.64,0,High,0
90.76,62.22,67.15,54,Low,1
63.13,59.4,57.62,45,Medium,1
79.24,72.3,65.63,73,Low,1
81.37,81.9,76.13,78,Low,1
74.88,70.44,60.91,92,Medium,1
70.95,63.99,56.93,23,Medium,1
53.27,62.06,48.54,7,High,1
38.26,38.64,57.79,19,High,0
84.23,60.99,71.72,70,Low,1
74.53,78.5,71.03,63,Medium,1
82.69,38.41,56.63,30,Medium,1
87.26,94.03,67.64,75,Low,1
83.0,72.64,71.27,72,Low,1
65.42,61.24,43.6,24,High,1
78.55,65.1,56.75,54,Medium,1
83.87,69.08,64.57,68,Low,1
80.66,64.69,73.54,63,Low,1
82.75,74.62,81.5,48,Low,1
35.05,67.09,28.44,5,High,0
86.6,86.15,73.05,49,Low,1
77.42,67.65,51.74,45,Medium,1
54.46,43.81,57.46,43,High,1
54.84,57.7,52.32,27,High,1
63.99,60.34,78.28,24,Medium,1
93.64,89.05,76.92,73,Low,1
53.63,39.99,52.56,26,High,0
90.74,74.15,68.76,43,Low,1
87.38,81.17,47.34,82,Medium,1
83.13,84.66,83.22,45,Low,1
95.8,69.74,64.63,79,Low,1
75.46,81.12,74.56,35,Low,1
79.98,83.29,70.34,42,Low,1
79.58,80.05,68.21,42,Low,1
93.32,80.39,72.06,56,Low,1
38.19,41.82,26.47,18,High,0
42.31,48.23,33.59,10,High,0
32.37,40.42,33.62,7,High,0
46.37,34.88,35.38,12,High,0
84.11,63.73,84.04,76,Low,1
69.01,61.46,54.32,47,Medium,1
48.48,63.24,29.9,9,High,0
73.44,66.96,70.43,66,Medium,1
85.52,49.48,52.01,49,Medium,1
43.61,62.65,24.45,15,High,0
51.45,40.4,30.05,14,High,0
86.9,69.47,79.3,55,Low,1
81.5,75.73,86.54,87,Low,1
66.21,68.37,51.97,37,Medium,1
55.81,45.46,49.85,17,Medium,0
82.59,89.16,70.65,68,Low,1
52.41,53.96,43.45,29,High,0
78.75,68.79,63.29,74,Low,1
51.89,73.69,49.39,27,High,1
82.45,79.55,95.15,72,Low,1
49.15,26.42,24.72,14,High,0
86.49,65.87,76.84,44,Low,1
57.04,43.27,55.94,35,Medium,1
72.76,56.28,53.39,63,Medium,1
62.05,51.48,53.57,28,Medium,1
51.78,33.09,68.38,48,High,0
89.12,80.48,56.77,54,Medium,1
81.48,73.49,71.29,82,Low,1
76.97,72.4,87.27,94,Low,1
82.91,74.03,70.25,84,Low,1
67.18,65.09,52.69,37,Medium,1
88.92,73.68,67.48,81,Low,1
30.04,17.15,35.15,21,High,0
50.55,54.82,49.04,33,High,0
54.66,51.33,21.7,24,High,0
72.35,70.56,87.1,46,Medium,1
78.44,71.94,69.34,63,Low,1
76.03,83.79,80.54,72,Low,1
80.58,75.55,63.29,57,Low,1
87.99,89.21,75.54,81,Low,1
66.71,51.87,58.66,16,Medium,1
76.12,65.94,72.76,48,Low,1
31.68,55.6,37.48,6,High,0
24.36,58.5,54.34,20,High,0
18.74,41.52,19.53,12,High,0
100.0,73.24,59.29,67,Medium,1
73.29,39.32,76.84,27,Medium,1
76.78,75.83,71.22,56,Low,1
62.57,68.58,61.95,40,Medium,1
69.31,82.78,61.45,37,Medium,1
61.91,44.53,65.32,35,Medium,1
61.06,54.13,62.84,26,Medium,1
70.21,65.71,62.17,70,Medium,1
85.14,70.49,77.5,65,Low,1
89.25,75.22,72.75,69,Low,1
83.03,70.16,86.66,37,Low,1
69.65,46.46,42.48,26,High,1
71.69,70.1,52.04,52,Medium,1
63.9,59.33,46.13,34,Medium,1
60.33,60.88,58.95,49,Medium,1
76.22,71.47,70.54,70,Low,1
47.5,53.62,28.27,12,High,0
84.66,75.6,64.89,76,Low,1
73.86,53.79,59.93,40,Medium,1
38.46,25.37,30.69,5,High,0
77.2,70.15,56.16,31,Medium,1
70.18,78.55,68.8,34,Medium,1
63.52,30.55,39.94,29,High,0
90.97,72.43,67.29,53,Low,1
78.38,85.47,64.02,75,Low,1
82.72,80.02,66.51,81,Low,1
73.1,50.22,48.89,14,Medium,1
80.99,75.78,66.56,41,Low,1
37.61,53.23,39.31,9,High,0
48.37,43.03,50.89,12,High,0
51.32,52.89,64.59,47,High,1
80.1,76.63,79.3,91,Low,1
83.32,78.17,53.24,56,Medium,1
27.11,35.2,33.06,15,High,0
82.2,83.4,91.04,43,Low,1
86.87,73.53,71.34,66,Low,1
82.81,56.07,33.24,35,High,1
79.55,70.96,65.1,79,Low,1
75.91,55.67,62.02,41,Low,1
80.97,62.72,68.52,64,Low,1
54.75,53.88,39.0,46,High,0
81.74,65.09,67.7,69,Low,1
81.62,58.84,70.56,69,Low,1
81.38,53.2,83.29,83,Low,1
87.05,86.45,80.4,19,Low,1
85.1,66.03,71.45,44,Low,1
87.09,42.28,51.62,39,Medium,1
71.8,70.38,77.59,43,Medium,1
65.34,19.1,31.08,11,High,0
17.39,51.36,35.46,21,High,0
40.05,40.52,52.9,9,High,0
64.53,72.54,59.72,22,Medium,1
76.07,74.77,73.82,64,Low,1
83.18,66.3,68.49,84,Low,1
78.0,69.58,66.64,86,Low,1
81.42,67.2,64.72,75,Low,1
86.09,63.76,61.88,52,Low,1
37.7,44.19,31.95,19,High,0
58.76,55.18,48.06,24,Medium,1
74.46,67.3,65.79,56,Medium,1
51.48,38.2,19.62,13,High,0
75.03,73.83,85.12,72,Low,1
26.16,48.26,44.93,25,High,0
55.28,49.05,62.99,23,Medium,1
61.54,49.62,45.71,50,Medium,1
52.05,42.0,55.55,12,High,0
74.2,68.58,68.63,51,Medium,1
56.44,49.27,78.86,33,Medium,1
81.38,73.4,75.09,43,Low,1
62.96,68.13,75.71,53,Medium,1
43.28,60.31,33.62,14,High,0
79.94,64.54,75.59,53,Low,1
62.53,75.98,62.37,75,Medium,1
82.55,82.5,56.95,52,Medium,1
28.83,51.01,52.73,8,High,0
79.84,55.9,66.36,18,Low,1
89.54,56.77,74.02,70,Low,1
98.77,70.33,69.51,58,Low,1
86.7,79.08,62.76,74,Low,1
82.73,79.96,79.22,89,Low,1
35.45,53.07,41.97,0,High,0
48.76,34.78,40.1,5,High,0
75.0,64.25,63.85,33,Medium,1
83.46,65.0,56.23,81,Medium,1
83.68,82.89,78.8,81,Low,1
78.09,71.87,65.97,53,Low,1
12.28,37.91,27.28,3,High,0
87.61,75.0,59.02,66,Medium,1
45.17,32.76,44.46,0,High,0
80.14,72.56,67.65,75,Low,1
79.12,75.31,65.32,57,Low,1
51.69,38.24,4.14,13,High,0
82.82,72.51,91.54,86,Low,1
62.9,61.52,46.76,45,Medium,1
79.29,64.55,66.4,38,Low,1
63.22,49.18,55.36,35,Medium,1
49.74,51.02,37.19,21,High,0
85.02,65.74,66.67,61,Low,1
54.57,63.4,50.27,50,High,1
82.13,78.23,86.62,62,Low,1
77.09,63.54,73.67,73,Low,1
91.77,87.91,68.81,53,Low,1
45.17,37.69,19.59,7,High,0
86.69,74.42,59.8,37,Medium,1
62.45,47.89,41.09,22,High,1
90.02,68.43,76.91,38,Low,1
77.42,76.9,82.46,67,Low,1
72.94,63.23,72.54,62,Medium,1
71.72,83.48,80.08,54,Medium,1
49.77,38.48,75.38,31,High,1
72.85,79.24,88.25,84,Medium,1
76.41,27.02,70.59,49,Low,1
78.54,81.16,75.01,47,Low,1
75.23,61.03,57.96,28,Medium,1
75.81,80.11,68.49,58,Low,1
61.32,65.66,46.72,36,Medium,1
80.05,71.23,79.65,36,Low,1
72.67,88.85,71.84,54,Medium,1
74.24,67.96,54.1,43,Medium,1
34.54,65.35,33.29,21,High,0
76.78,80.88,47.09,105,Medium,1
55.55,64.56,55.83,13,Medium,1
36.11,37.41,51.79,11,High,0
78.38,86.26,71.41,82,Low,1
47.25,42.57,35.75,23,High,0
86.29,80.15,72.01,35,Low,1
79.69,69.57,66.84,64,Low,1
74.35,59.64,70.57,47,Medium,1
84.62,50.82,63.62,43,Low,1
42.01,37.72,26.49,17,High,0
83.9,91.08,68.97,60,Low,1
75.89,68.16,86.78,48,Low,1
61.69,69.77,75.18,13,Medium,1
75.69,65.54,72.77,72,Low,1
78.21,72.02,61.83,57,Low,1
68.24,71.38,65.53,61,Medium,1
81.64,81.25,75.65,63,Low,1
46.97,43.71,50.02,20,High,0
42.53,45.52,48.88,15,High,0
84.14,71.73,75.52,71,Low,1
93.33,75.84,65.48,115,Low,1
33.72,38.67,38.95,25,High,0
85.61,85.08,74.27,44,Low,1
78.89,65.61,58.77,36,Medium,1
85.56,84.64,66.7,52,Low,1
57.96,29.35,62.6,8,Medium,0
72.8,75.9,69.71,48,Medium,1
79.24,37.16,35.65,3,High,0
84.38,72.37,70.55,77,Low,1
33.19,49.39,20.33,5,High,0
88.77,78.2,50.5,52,Medium,1
79.78,74.28,65.46,62,Low,1
40.79,32.33,22.96,17,High,0
83.48,71.07,84.38,56,Low,1
76.34,77.22,74.24,65,Low,1
90.09,73.34,77.32,62,Low,1
66.8,55.68,51.24,21,Medium,1
86.78,73.7,84.81,60,Low,1
70.24,60.56,61.13,62,Medium,1
80.48,57.32,58.74,22,Medium,1
79.01,81.69,56.94,56,Medium,1
84.95,56.62,83.96,94,Low,1
90.42,78.71,75.94,56,Low,1
98.58,77.47,71.53,54,Low,1
92.15,70.28,84.82,82,Low,1
72.85,74.56,71.12,42,Medium,1
77.34,68.98,82.87,52,Low,1
57.24,86.34,51.11,32,Medium,1
32.78,47.1,53.37,28,High,0
85.78,81.28,75.07,93,Low,1
85.98,73.68,85.8,60,Low,1
81.27,81.93,53.29,68,Medium,1
71.78,76.32,75.55,73,Medium,1
59.14,49.84,73.18,25,Medium,1
86.83,64.26,70.07,27,Low,1
55.92,44.96,17.79,15,High,0
72.14,70.53,54.01,49,Medium,1
76.87,82.72,61.93,66,Low,1
66.26,46.15,72.65,47,Medium,1
77.71,77.8,67.4,86,Low,1
90.63,69.27,74.96,56,Low,1
90.77,70.58,76.7,57,Low,1
86.44,71.54,63.29,73,Low,1
42.29,36.55,47.64,15,High,1
85.39,69.28,70.92,37,Low,1
76.44,42.22,52.1,26,Medium,1
39.8,47.96,70.83,17,High,1
73.04,55.06,69.06,39,Medium,1
80.55,91.42,55.58,53,Medium,1
41.21,72.71,56.05,53,High,1
87.88,81.82,73.62,64,Low,1
